title,box_off_num
용서는 없다,829173.6264570517
아빠가 여자를 좋아해,937916.7186014367
하모니,615624.1663248533
의형제,1547519.1608093688
평행 이론,1551760.7252515554
회오리 바람,66.1411305195456
경계도시 2,2250.2791598226427
이웃집 남자,26.998807304087375
아마존의 눈물 극장판,3213.328324612156
반가운 살인자,178.15623529110235
집 나온 남자들,171548.8991822676
베스트셀러,496897.93012539245
작은 연못,310.57774311325994
경,1856.1944441371622
대한민국 1%,375585.9349969915
포화 속으로,1638316.1509074734
나쁜 놈이 더 잘 잔다,3524.7296164897157
맨발의 꿈,1315029.895908118
요술,133026.94552701866
마법천자문: 대마왕의 부활을 막아라,196299.19028427647
인플루언스,33.16221766694311
미스터 좀비,1816.9738164254284
김복남 살인사건의 전말,8472.136235009144
엄지아빠,96.30315876581348
탈주,41.940210623988
해결사,825955.827711838
할,1275.0029355151273
된장,694241.9259465616
조금만 더 가까이,6657.307677420133
우리 만난 적 있나요,44.54125804898805
쩨쩨한 로맨스,694023.9159510481
용서,192307.41585837642
브라보! 재즈 라이프,2987.418132583252
카페 느와르,5401.843668903536
오래된 인력거,3226.7984514283075
창피해,2229.8928353095794
"양 한 마리, 양 두 마리",1244.8756174886985
하얀 정글,2451.7070888330327
다슬이,2706.326326803936
REC 알이씨,21.060357072894305
량강도 아이들,76.20075403819563
티끌모아 로맨스,49762.94531595245
더 킥,488670.21511972806
커플즈,215889.04051319495
오늘,236636.85563149038
완득이,739270.6088214586
은어,33.743901149244174
고래를 찾는 자전거,59.65615942475599
도가니,313381.22987252165
겨울냄새,279.25216579162236
환타스틱 모던가야그머,1757.0729879880384
블라인드,910712.2199206065
링크,4381.189226045511
퀵,928546.7464533057
모비딕,1398356.5166547962
굿바이 보이,141.5065065299377
종로의 기적,5297.53575756452
회초리,724575.1726853087
체포왕,922136.389513704
세상에서 가장 아름다운 이별,1779641.7692128823
나는 아빠다,495213.8352634942
수상한 고객들,2043142.5572040332
수상한 이웃들,4393.286554785721
돌아오는 길,362.8707986546039
우리 이웃의 범죄,5341.249393411112
엄마는 창녀다,30.972176078708724
위험한 상견례,599150.7261055853
간증,3903.833402618076
"사랑한다, 사랑하지 않는다",85984.26131387672
"혜화, 동",8587.29669982622
글러브,785951.2034391952
가문의 귀환,396117.4066759232
잔혹한 앵글의 로망스,108.31390769626638
나의 PS 파트너,1082805.5294854147
롤플레이,426.65698506020345
마티나,385.93187449854076
음치 클리닉,1417805.1775570197
남영동1985,129696.36974739419
돈 크라이 마미,82684.19254009587
반드시 크게 들을 것 2 : Wild Days,2478.9060322710116
범죄소년,12044.727770658947
내가 살인범이다,3619732.9441351225
터치,3069.7447317291226
늑대소년,2739486.057965261
맥코리아,1084.4694397619287
용의자X,1660711.9443709257
하나안,1835.002234894404
투 올드 힙합 키드,6769.696943750704
한경직,1516.471304645009
미운오리새끼,137864.75206076982
황제펭귄 펭이와 솜이,1049.4448255112375
두 개의 문,2725.0650009875926
I AM,510172.33321183245
후궁 : 제왕의 첩,1411114.7048815384
"안녕, 하세요!",66928.09626016811
천국의 아이들,61.57336559901347
할머니는 일학년,16223.778263995684
두레소리,33.271128060876975
"봄, 눈",221438.29125525252
은교,162092.65278395257
간기남,1001305.7947426952
시체가 돌아왔다,1637195.0756346888
말하는 건축가,2429.153101649801
밀월도 가는 길,2919.2831948183325
파파,665321.8511276
점박이:한반도의 공룡3D,31480.82683460347
댄싱퀸,3054760.3019384085
누구의 딸도 아닌 해원,14277.297359000067
신세계,2526816.2839029576
굿바이 홈런,3883.2215389792004
불륜의 시대,1494.9918718461722
남쪽으로 튀어,1562734.6671272777
좋은 친구들,1774640.5745315577
지슬 - 끝나지 않은 세월 2,2530.8107040353593
누구나 제 명에 죽고 싶다,6354.22959738639
사이코메트리,597802.8673801449
환상속의 그대,6947.391338054339
몽타주,2747950.1252443735
"힘내세요, 병헌씨",2621.1456971039693
꼭두각시,81127.28082944483
홀리,885.3433788836013
마이 라띠마,437245.6829586112
더 테러 라이브,871652.4882540315
슈퍼피쉬 - 끝없는 여정,1462.7683891744434
콩가네,56.414866819182976
허풍,559.9134603239601
젊은 엄마,424.7322345441737
노라노,13820.330978505923
노브레싱,49569.41997495181
말하는 건축 시티:홀,3307.883338611297
댄서김의 은밀한 교수법,19.017048073292525
소원,465489.6475273341
고양이 소녀,444.33027764246935
롤플레이 2 : 동침,146.84904989778505
동창생,2218815.1656566854
용의자,4597648.786486459
미녀전쟁,822.3507956347008
캐치미,905079.4602424363
그 강아지 그 고양이,124971.63610628356
화려한 외출,37.55135740730921
오하이오 삿포로,903.2053853055081
마이 리틀 히어로,1760325.359268437
박수건달,4829328.020826592
배꼽,109.31175897334396
나가요 미스콜,1408.6129096416369
우아한 거짓말,45733.62222985678
미스터 컴퍼니,3938.5922195484086
우리별 일호와 얼룩소,1892.7716427985304
찌라시: 위험한 소문,1440490.192258082
조선미녀삼총사,1520553.8626445178
만찬,5012.20956326455
한 번도 안 해본 여자,1955.229836223819
살인자,37.03255666934684
  이것이 우리의 끝이다,6255.134202682002
그댄 나의 뱀파이어,936.3133263443141
황제를 위하여,214.8986909499276
레디액션! 폭력영화,3312.6229038633737
스퀴시랜드,90085.59157544376
우는 남자,2486539.3238001745
하이힐,1936802.913351632
도희야,19268.35776926836
표적,548246.7654325339
10분,38806.3608929078
메이크 유어 무브,201056.66835911723
카토 프로젝트,500.79579320765225
녀녀녀,722.1958040776543
방황하는 칼날,1088917.2972974866
바리새인,34.605049795228375
욕망의 독: 중독,1087.9850909280988
설계,3253.300611078866
레쓰링,890.0910928402276
원 컷 - 어느 친절한 살인자의 기록,1395.7064410636924
픽업 아티스트,752.4678722267
옹녀뎐,24.57928444714695
왓니껴,1758.2427739504358
족구왕,14101.478453996066
내 연애의 기억,22683.571893643337
바세코의 아이들,1870.8389940308455
명량,10257941.547342455
군도: 민란의 시대,6639722.308038878
산타바바라,15313.940938702623
나는 야한 여자가 좋다,414.89128790957915
숙희,963.5779876915061
더 테너 리리코 스핀토,8521.933412783506
기술자들,987537.8704722336
신화 라이브 3D 더 레전드 컨티뉴스,3716.8126752736966
악사들,5142.185430824221
울언니,3150.7771186159152
정사: 위험한 성적유희,463.6075774685321
레디액션 청춘,574577.020406313
"제자, 옥한흠",3576.3867094112197
환상,546.7379834705861
위층여자,899.242476335267
가자! 장미여관으로 3 - 방황,1290.4512214359424
나는 야한 여자가 좋다 3,414.89128790957915
스물,1702823.4213037484
그라운드의 이방인,2332.5705166115836
살인의뢰,262887.43186858395
살인캠프,503.72024471307435
헬머니,897584.2954464689
조류인간,197.999257487863
최강전사 미니특공대 : 새로운 악당의 습격,13925.809067629403
생각보다 맑은,37.61761171662911
고양이 장례식,4871.4306070139
설해,29702.976086304057
나의 절친 악당들,1450204.4876196452
연평해전,1924478.6493790338
극비수사,910359.3630056534
성난 화가,1668.0189921023882
은밀한 유혹,1584643.8028307343
혜경궁 홍씨,1317.8007562219493
무뢰한,836003.6551562677
간신,1339465.9092180168
연애의 맛,172.87549690694289
잡식가족의 딜레마,6759.518970615171
플랑크 상수,319.8286937358113
장수상회,854398.071780345
